NUMBER	ENGLISH	GLOSS_IN_SOURCE	DEFINITION	ALIAS	DOMAIN
36	aër (veil covering vessels in the Orthodox Church)	aër (veil covering vessels in the Orthodox Church)	the largest and outermost of the veils covering the Chalice and Diskos in the Eastern Orthodox Church and the Eastern Catholic Churches which follow the Byzantine Rite		N/a
37	aesthetic perception	aesthetic perception			Abstract entities
38	after	after			Time
39	afterbirth, placenta	afterbirth, placenta	organ in most mammals during gestation that supplies food and oxygen to the foetus and passes back waste. It is on wall of the uterus and links to the foetus through the umbilical cord. It is expelled after birth		N/a
40	afterworld	afterworld	supposed world that is entered after death		N/a
41	again	again			Time
42	against	against	in opposition or hostility to		N/a
43	age	age			Abstract entities
44	age group	age group	None		Artifacts
45	ahead	ahead			Space
46	aim, goal	aim, goal			Abstract entities
47	air	air			Natural objects
48	air, atmosphere	air, atmosphere			N/a
49	airplane	airplane	powered heavier-than-air aircraft with fixed wings		N/a
50	ajvar (vegetable dish)	ajvar (vegetable dish)	dish of chopped vegetables or mushrooms		N/a
51	albugo, wall-eye	albugo, wall-eye			Physiology
52	albumen, white of an egg	albumen, white of an egg			N/a
53	alder (tree)	alder (tree)	tree or shrub of the genus Alnus		Plants
54	algae	algae			Plants
55	alike	alike			N/a
56	alive	alive			Other physical
57	All Saints' Day	All Saints&#39; Day	"a Christian solemnity celebrated in honour of all the saints of the Church; 	1 November (Western Christianity), Sunday after Pentecost (Eastern Christianity)"		N/a
58	all, whole	all, whole	throughout the whole of		N/a
59	almond	almond			N/a
60	almost	almost			Grammatical markers
61	Aloe vera (plant)	Aloe vera (plant)			N/a
62	alone	alone			Non-physical
63	already	already			Time
64	already	already			Time
65	alternate-leaved golden-saxifrage	alternate-leaved golden-saxifrage	plant Chrysosplenium alternifolium		N/a
66	although	although			Grammatical markers
67	aluminium	aluminium	light, silvery metal extracted from bauxite, and a chemical element (symbol Al) with an atomic number of 13		N/a
68	always	always			N/a
69	amazing	amazing			Non-physical
70	amber	amber			Natural objects
71	ambience, vibe	ambience, vibe	None		Abstract entities
72	ambush	ambush			Abstract entities
73	American	American			N/a
74	Amorphophallus paeoniifolius	Amorphophallus paeoniifolius	tropical tuber plant, elephant foot yam		N/a
75	anathema	anathema	ban or curse pronounced with religious solemnity by ecclesiastical authority, often accompanied by excommunication		N/a
76	ancestor	ancestor	one from whom a person is descended, whether on the father&#39;s or mother&#39;s side, at any distance of time; a progenitor		N/a
77	anchor	anchor	tool used to moor a vessel to the bottom of a sea or river to resist movement		N/a
78	anemic	anemic	suffering from anemia		N/a
79	anemone (Anemone)	anemone (Anemone)			Plants
80	angel	angel			Abstract entities
81	anger	anger			Abstract entities
82	anger	anger			Abstract entities
83	angry	angry			Non-physical
84	Anguis fragilis	Anguis fragilis			N/a
85	animal	animal			Animals
86	animal bladder	animal bladder	specially treated pig or cow bladder used as window glass		N/a
87	animal yield	animal yield			N/a
88	ankle	ankle			Body parts
89	ankle bone for playing	ankle bone for playing	astragalus of the ankle of a sheep or goat used for traditional games and fortune-telling		Artifacts
90	annoying	annoying			N/a
91	ant	ant	insect of the family Formicidae in the order Hymenoptera, typically living in large colonies		Animals
92	anteater	anteater	any of several animals, in suborder Vermilingua, which are noted for eating ants and termites which they catch with their long sticky tongues		N/a
93	antelope	antelope			Animals
94	anthrax	anthrax	acute infectious disease of herbivores, especially sheep and cattle, caused by Bacillus anthracis, and the human disease that can occur in humans through contact with infected herbivores, tissue from infected animals, or high concentrations of anthrax spores, but is not usually spread between humans, with symptoms including lesions on the skin or in the lungs, often fatal		Human being
95	antimony	antimony	chemical element (symbol Sb, from Latin stibium) with an atomic number of 51: a lustrous gray and very brittle metalloid		N/a
96	anvil (of a blacksmith)	anvil (of a blacksmith)			N/a
97	anxiety	anxiety	unpleasant state of mental uneasiness, nervousness, apprehension and obsession or concern about some uncertain event		N/a
98	any	any			Evaluation
99	aorta	aorta	great artery which carries the blood from the heart to all parts of the body except the lungs; the main trunk of the arterial system		N/a
100	apartment, flat	apartment, flat			N/a
101	apical ancestor	apical ancestor	in kinship and descent, a common ancestor from whom a lineage or clan may trace its descent. The ancestor who is at the apex of the genealogy		N/a
102	appearance; look	appearance; look			N/a
103	appetite	appetite	desire to eat food or consume drink		N/a
104	apple	apple			Plants
105	approximately	approximately	imprecise but close to in quantity or amount		Abstract entities
106	apricot	apricot	round sweet and juicy stone fruit, resembling peach or plum in taste, with a yellow-orange flesh, lightly fuzzy skin and a large seed inside; apricot tree, Prunus armeniaca		N/a
107	April	April	fourth month of the Gregorian calendar, following March and preceding May		N/a
108	Aquarius (constellation)	Aquarius (constellation)			N/a
109	arbalest, crossbow	arbalest, crossbow	ranged weapon using an elastic launching device consisting of a bow-like assembly, mounted horizontally on a main frame, which is hand-held in a similar fashion to the stock of a long firearm		N/a
110	arc	arc			Artifacts
111	Arctic fox	Arctic fox	mammal Vulpes lagopus, a fox-like carnivore of the family Canidae living in the Arctic regions of North America and Eurasia		Animals
112	Aries	Aries	constellation of the zodiac supposedly shaped like a ram		N/a
113	arm	arm	the part between the shoulder and the wrist		N/a
114	armadillo	armadillo	any of the burrowing mammals covered with bony, jointed, protective plates, order Cingulata, found in the Americas, especially in South America		N/a
115	armpit	armpit	cavity beneath the junction of the arm and shoulder		Body parts
116	army	army	large, highly organized military force		Human being
117	arrogance	arrogance			N/a
118	arrogant	arrogant	having or revealing an exaggerated sense of one&#39;s own importance or abilities		N/a
119	arrow	arrow	projectile consisting of a shaft, a point and a tail with stabilizing fins that is shot from a bow		Artifacts
120	arrow fletching	arrow fletching	feathers of an arrow used to stabilize the longitudinal axis of the projectile parallel to the flight path		N/a
121	arterial (blood)	arterial (blood)	blood purified from carbon dioxide and saturated with oxygen (oxygenated), in contrast to venous blood		N/a
122	artery	artery	blood vessels forming part of the circulation system by which blood is conveyed away from the heart		N/a
123	artichoke	artichoke			N/a
124	as, like	as, like			N/a
125	ash (tree)	ash (tree)			Plants
126	ashes	ashes			Natural objects
127	Asiatic dock	Asiatic dock	Rumex confertus, a plant species in the family Polygonaceae		Human being
128	asleep	asleep			N/a
129	asp (fish)	asp (fish)	(Aspius aspius, Leuciscus aspius) a European freshwater fish of the Cyprinidae family		N/a
130	aspen	aspen			Plants
131	asphodel	asphodel	plant of the genus Asphodelus		N/a
132	aspic (dish)	aspic (dish)	dish in which ingredients are set into a gelatine, jelly-like substance made from a meat stock or consommé		N/a
133	assistant	assistant	person who assists or helps someone else		N/a
134	astringent	astringent			N/a
135	atheist	atheist	person who does not believe in deities		Human being
136	attack (n.)	attack (n.)	attempt to cause damage, injury to, or death of opponent or enemy		Human being
137	attack of disease	attack of disease	(medicine) the sudden onset of a disease or condition		Human being
138	attentive	attentive			Non-physical
139	auger, gimlet	auger, gimlet			N/a
140	August	August			Time
141	aunt	aunt			N/a
142	aunt (father's brother's wife)	aunt (father&#39;s brother&#39;s wife)			N/a
143	aunt (father's sister)	aunt (father&#39;s sister)			N/a
144	aunt (mother's brother's wife)	aunt (mother&#39;s brother&#39;s wife)			N/a
145	aunt (mother's sister)	aunt (mother&#39;s sister)			N/a
146	auricle	auricle	visible part of the ear that is outside the head		N/a
147	author	author	originator or creator of a work, especially of a literary composition		N/a
148	automobile	automobile	type of vehicle designed to move on the ground under its own stored power and intended to carry a driver, a small number of additional passengers, and a very limited amount of other load		N/a
149	autumn	autumn	the third of the four seasons, when deciduous trees lose their leaves; typically regarded as being from September 24 to December 22 in parts of the Northern Hemisphere, and the months of March, April and May in the Southern Hemisphere		Time
150	autumn fall of the leaves	autumn fall of the leaves	autumn fall of the leaves		N/a
151	awake	awake			N/a
152	award	award			N/a
153	away	away			N/a
154	awl	awl	pointed instrument for piercing small holes, as in leather or wood		Artifacts
155	awn	awn	bristle or beard of barley, oats, grasses, etc., or any similar bristlelike appendage; arista.		N/a
156	axe	axe	tool for felling trees or chopping wood etc. consisting of a heavy head flattened to a blade on one side, and a handle attached to it; also an ancient weapon consisting of a head that has one or two blades and a long handle		Artifacts
157	axle	axle	pin or spindle on which a wheel revolves, or which revolves with a wheel		N/a
158	(body) side	(body) side			N/a
159	berry	&lt;berry&gt;			Plants
160	beverage, drink	&lt;beverage, drink&gt;			N/a
161	bird	&lt;bird&gt;			Animals
162	blood-sucking insect	&lt;blood-sucking insect&gt;			Animals
163	body part	&lt;body part&gt;			N/a
164	building	&lt;building&gt;			N/a
165	babble-tube	babble-tube			N/a
166	baby	baby			N/a
167	baby chicken	baby chicken	young rooster or hen		N/a
168	back (body part)	back (body part)			Body parts
169	back of the axe head	back of the axe head			Artifacts
170	back of the head	back of the head			Body parts
171	back vowels (linguistics)	back vowels (linguistics)			N/a
172	backbone	backbone			N/a
173	backdrop (visual)	backdrop (visual)			N/a
174	backside	backside	back side of anything, the part opposite its front		N/a
175	backwards	backwards			Space
176	bad	bad			Evaluation
177	bad (ethically)	bad (ethically)			Evaluation
178	bad luck	bad luck			Abstract entities
179	bad person	bad person			Human being
180	bad smell, stench	bad smell, stench	None		Abstract entities
181	bad weather	bad weather			Natural objects
182	bad weather	bad weather			Abstract entities
183	bad-smelling, stinking	bad-smelling, stinking			Taste
184	badger (Meles)	badger (Meles)			Animals
185	bagpipes	bagpipes	musical wind instrument, possessing a flexible bag inflated by bellows, a double-reed melody pipe and up to four drone pipes; any aerophone that produces sound using air from a reservoir to vibrate enclosed reeds		N/a
186	balance weight on scale	balance weight on scale			N/a
187	bald	bald			Other physical
188	bald spot	bald spot			Natural objects
189	bald-coot (Fulica atra)	bald-coot (Fulica atra)			Animals
190	bamboo	bamboo			N/a
191	bamboo sprout	bamboo sprout	None		N/a
192	banana flower	banana flower			N/a
193	bank, shore	bank, shore			N/a
194	barbel	barbel			Animals
195	barberry	barberry			N/a
196	bare (feet)	bare (feet)			N/a
197	bareback	bareback	without a saddle		N/a
198	bark (of a tree)	bark (of a tree)			Natural objects
199	barley	barley			Plants
200	barrel	barrel	round vessel or cask, of greater length than breadth, and bulging in the middle, made of staves bound with hoops, and having flat ends or heads		N/a
201	barrel (of a gun)	barrel (of a gun)	metallic tube, as of a gun, from which a projectile is discharged		Artifacts
202	barren (of animals)	barren (of animals)			Other physical
203	barrier	barrier	structure that bars passage		N/a
204	base (geometry)	base (geometry)			N/a
205	base for beheading	base for beheading			Artifacts
206	basin (vessel)	basin (vessel)			Body parts
207	basis	basis			Abstract entities
208	basket	basket			Artifacts
209	bass, low-pitched voice	bass, low-pitched voice			Sound
210	bast, the layer under the bark	bast, the layer under the bark	(botany) phloem, a vascular tissue in land plants primarily responsible for the distribution of sugars and nutrients manufactured in the shoot; fibre made from the phloem of certain plants and used for matting and cord		Natural objects
211	bastard	bastard			Human being
212	bat	bat	any of the flying mammals of the order Chiroptera, usually small and nocturnal, insectivorous or frugivorous		Animals
213	bath	bath			N/a
214	bathroom	bathroom			N/a
215	battering-ram	battering-ram			Artifacts
216	battery	battery	device used to power electric devices, consisting of a set of electrically connected electrochemical or, archaically, electrostatic cells		N/a
217	battle	battle			Abstract entities
218	bead	bead			Artifacts
219	beak	beak			Body parts
220	beam	beam			Artifacts
221	bean	bean			N/a
222	bear (Ursus)	bear (Ursus)			Animals
223	bear garlic	bear garlic	Allium ursinum		N/a
224	beard	beard			Body parts
225	bearded man	bearded man			Human being
226	bearded vulture	bearded vulture	bird Gypaetus barbatus		N/a
227	bearing (mechanical device)	bearing (mechanical device)	mechanical device that supports another part and/or reduces friction		N/a
228	beautiful	beautiful			Evaluation
229	beautiful girl	beautiful girl			N/a
230	beaver (Castor fiber)	beaver (Castor fiber)			Animals
231	because of	because of			Grammatical markers
232	bed	bed			Artifacts
233	bed canopy	bed canopy			N/a
234	bed-clothes	bed-clothes			N/a
235	bedbug (Cimex lectularius)	bedbug (Cimex lectularius)			Animals
236	bedding (padding)	bedding (padding)			N/a
237	bedsheet	bedsheet			N/a
238	bee	bee			Animals
239	bee swarm	bee swarm			N/a
240	beech	beech			Plants
241	beehive	beehive			N/a
242	beer	beer	alcoholic drink fermented from starch material, commonly barley malt; often with hops or some other substance (like gruit) to impart a bitter flavor		N/a
243	beet (Beta vulgaris)	beet (Beta vulgaris)			Plants
244	beetle	beetle			Animals
245	before	before			Time
246	beggartick	beggartick	plant Bidens sp.		N/a
247	beginning	beginning			Abstract entities
248	behaviour	behaviour			Abstract entities
249	behind	behind			Space
250	belemnite	belemnite			N/a
251	bell	bell			Artifacts
252	belladonna	belladonna	Atropa belladonna, a toxic perennial herbaceous plant		N/a
253	bellflower (Campanula)	bellflower (Campanula)			Plants
254	bellows	bellows			N/a
255	belly	belly			Body parts
256	beloribitsa	beloribitsa	Stenodus leucichthys, a species of freshwater whitefish in the family Salmonidae. In the strict sense its natural distribution is restricted to the Caspian Sea basin		N/a
257	beloved	beloved			Human being
258	below, down, bottom part	below, down, bottom part	None		Space
259	belt	belt			Artifacts
260	beluga sturgeon	beluga sturgeon	Huso huso, a species of anadromous fish in the sturgeon family		N/a
261	bench	bench			N/a
262	bend (of a river)	bend (of a river)			Natural objects
263	benediction	benediction	short invocation for help, blessing and guidance from God, said on behalf of another person or persons (sometimes at the end of a church worship service)		N/a
264	benefit	benefit			Abstract entities
265	berry	berry			Plants
266	best	best			Non-physical
267	best part of something	best part of something			N/a
268	betel	betel	an evergreen Indian creeping shrub, Piper betle, whose dried leaves are chewed with betel nut: the betel pepper		N/a
269	betrothal, engagement	betrothal, engagement			Abstract entities
270	better	better			N/a
271	big	big			Size
272	bile, gall	bile, gall			Body parts
273	billion	billion	a thousand million: 1 000 000 000		N/a
274	biotite	biotite	dark brown mica; it is a mixed aluminosilicate and fluoride of potassium, magnesium and iron		N/a
275	birch	birch			Plants
276	birch bolete (Leccinum scabrum)	birch bolete (Leccinum scabrum)			N/a
277	bird	bird			Animals
278	bird cherry tree	bird cherry tree			Plants
279	bird cherry tree	bird cherry tree			Plants
280	bird Nectarinia gutturalis	bird Nectarinia gutturalis			Animals
281	bird's foot	bird&#39;s foot			N/a
282	birthmark	birthmark			Natural objects
283	biscuit, cookie	biscuit, cookie			N/a
284	bishop	bishop			N/a
285	bishop (chess)	bishop (chess)			N/a
286	bison	bison			N/a
287	bit (part of horse harness)	bit (part of horse harness)			Artifacts
288	bitch	bitch	female of a canine animal		N/a
289	Bitis arietans	Bitis arietans			N/a
290	bitter	bitter			Taste
291	bitterling	bitterling			Animals
292	bittern (Botaurus)	bittern (Botaurus)			Animals
293	black	black			Light and Colour
294	black cloud	black cloud			Natural objects
295	black grouse	black grouse	bird Lyrurus tetrix (syn. Tetrao tetrix)		N/a
296	black grouse (Lyrurus)	black grouse (Lyrurus)			Animals
297	black radish	black radish	None		Plants
298	blackberry	blackberry			N/a
299	blackcurrant	blackcurrant	Ribes nigrum, a deciduous shrub in the family Grossulariaceae grown for its edible berries		N/a
300	blacksmith	blacksmith			Human being
301	blackthorn	blackthorn			Plants
302	blade	blade			Artifacts
303	blade	blade			Artifacts
304	blank	blank	free from writing, printing, or marks; having an empty space to be filled in		N/a
305	blanket	blanket	heavy, loosely woven fabric, usually large and woollen, used for warmth while sleeping or resting		N/a
306	blind	blind			Other physical
307	blind	blind			Other physical
308	blind alley	blind alley			N/a
309	blister	blister	small bubble between the layers of the skin that contains watery or bloody fluid and is caused by friction and pressure, burning, freezing, chemical irritation, disease or infection		N/a
310	blizzard	blizzard			N/a
311	blond person	blond person			N/a
312	blonde	blonde	having a light colour of hair		N/a
313	blood	blood	vital liquid flowing in the bodies of many types of animals that usually conveys nutrients and oxygen. In vertebrates, it is colored red by hemoglobin, is conveyed by arteries and veins, is pumped by the hear		Natural objects
314	blood vessel	blood vessel	component of the circulatory system, such as an artery, capillary, or vein, that carries blood		Body parts
315	bloodletting	bloodletting	archaic practice of treating illness by removing some blood, believed to be tainted, from the stricken person		N/a
316	blow	blow			N/a
317	blue	blue			Light and Colour
318	blueberry	blueberry			N/a
319	blueflag (Iris)	blueflag (Iris)			N/a
320	blunt	blunt			Tactile quality
321	board, plank	board, plank			Artifacts
322	boat	boat			N/a
323	body	body			Body parts
324	body of water	body of water	significant accumulation of water, covering the Earth, such as a river, lake or a bay		N/a
325	body part	body part	any part of an animal organism, such as an organ, limb or extremity		Body parts
326	bog-rosemary	bog-rosemary	Andromeda, plant		N/a
327	Boletus edulis	Boletus edulis	edible mushroom Boletus edulis		N/a
328	bone	bone			Body parts
329	bone marrow	bone marrow	None		Body parts
330	book (n.)	book (n.)			Artifacts
331	book spine	book spine	narrow, bound edge of a book that encloses the inner edges of the pages, facing outwards when the book is on a shelf and typically bearing the title and the author&#39;s and publisher&#39;s name		N/a
332	boredom	boredom			Abstract entities
333	boring	boring			Non-physical
334	boss	boss			Human being
335	bothering	bothering			N/a
336	bottle	bottle			Artifacts
337	bottom	bottom			Space
338	bottom of a dress	bottom of a dress			N/a
339	boundary (of land plots)	boundary (of land plots)	dividing line between two ploughed fields		N/a
340	bouquet	bouquet	bunch of cut flowers		N/a
341	bourrache (Borago)	bourrache (Borago)			Plants
342	bow (weapon)	bow (weapon)			Artifacts
343	bow, fiddlestick	bow, fiddlestick	rod with horsehair (or an artificial substitute) stretched between the ends, used for playing various stringed musical instruments.		N/a
344	bow-legged	bow-legged	having a bowlegs		N/a
345	bow-string	bow-string			Artifacts
346	bowel	bowel			Body parts
347	bowels, intestine	bowels, intestine			Body parts
348	box, container	box, container			Artifacts
349	boy	boy			Human being
350	bracelet	bracelet			N/a
351	braid (of hair)	braid (of hair)	weave of three or more strands of hair		N/a
352	brain (cerebrum)	brain (cerebrum)			Body parts
353	bran	bran			Natural objects
354	branch (of a river)	branch (of a river)			Natural objects
355	branch, twig	branch, twig			Natural objects
356	brand, stamp	brand, stamp			Artifacts
357	brass	brass	metallic alloy of copper and zinc		N/a
358	brave	brave			Non-physical
359	brave person	brave person			Human being
360	bread	bread			Artifacts
361	bread roll	bread roll	miniature round loaf of bread		N/a
362	breakfast	breakfast			Abstract entities
363	bream (Abramis)	bream (Abramis)			N/a
364	breast	breast	A woman&#39;s breast.		N/a
365	breaststroke	breaststroke	swimming stroke in which the swimmer lies face down, the arms being swept forward, outward and back under the water and the legs are kicked like a frog&#39;s		Abstract entities
366	breathing	breathing			Physiology
367	breed	breed			N/a
368	bribe	bribe			Abstract entities
369	brick (n.)	brick (n.)			Artifacts
370	bride	bride			Human being
371	bridegroom	bridegroom			Human being
372	bridge	bridge			Artifacts
373	bridge (of musical imstrument)	bridge (of musical imstrument)	device that supports the strings on a stringed musical instrument		N/a
374	brief	brief			Time
375	brilliant, glaring	brilliant, glaring			Light and Colour
376	broken	broken			N/a
377	bronze	bronze	naturally occurring or man-made alloy of copper in combination with tin		N/a
378	brood, hatch	brood, hatch			N/a
379	broom	broom			Artifacts
380	broom	broom			Artifacts
381	broth	broth			N/a
382	brothel	brothel			Artifacts
383	brother	brother			N/a
384	brother-in-law	brother-in-law			N/a
385	brown	brown			Light and Colour
386	brown	brown			Light and Colour
387	brown meagre	brown meagre	fish Sciaena umbra		N/a
388	bruise	bruise			Physiology
389	brush	brush	implement consisting of multiple more or less flexible bristles or other filaments attached to a handle, used for any of various purposes including cleaning, painting, and arranging hair		N/a
390	brushwood	brushwood			Natural objects
391	bucket	bucket	Typically a watertight, vertical cylinder or truncated cone or square, with an open top and a flat bottom, attached to a semicircular carrying handle called the bail (Wikipedia)		N/a
392	buckthorn (Frangula)	buckthorn (Frangula)			Plants
393	buckwheat	buckwheat			Plants
394	bud (of a flower)	bud (of a flower)			Plants
395	bud (on a twig)	bud (on a twig)			Natural objects
396	bug (Heteroptera)	bug (Heteroptera)			N/a
397	bulb (of plant)	bulb (of plant)			N/a
398	bull	bull			Animals
399	bullet	bullet			Artifacts
400	bullhead	bullhead			Animals
401	bully	bully			Human being
402	bumblebee	bumblebee			N/a
403	burbot	burbot			Animals
404	burdock	burdock			N/a
405	burial	burial			N/a
406	burn (physical injury)	burn (physical injury)	physical injury caused by heat or caustic chemicals		N/a
407	burner	burner			Artifacts
408	burrow (of animal)	burrow (of animal)			N/a
409	burstwort (herniaria)	burstwort (herniaria)			N/a
410	bush, shrub	bush, shrub			N/a
411	busy	busy			N/a
412	but, however	but, however			Abstract entities
413	butcher	butcher	person who prepares and sells meat (and sometimes also slaughters the animals)		N/a
414	butt of a log	butt of a log			N/a
415	butt of the rifle	butt of the rifle			N/a
416	butter	butter			N/a
417	butterfly	butterfly			Animals
418	butterfly fish	butterfly fish	fish of the family Chaetodontidae		N/a
419	butterfly stroke	butterfly stroke	swimming stroke in which the body is prone, the arms are moved in simultaneous circles, and the feet are kicked up and down		N/a
420	buttock	buttock			Body parts
421	button (on a dress)	button (on a dress)			Artifacts
422	buttonquail	buttonquail	bird Turnix sp.		N/a
423	by heart	by heart			Abstract relations
424	byte	byte			N/a
425	capricorn beetle	&lt;capricorn beetle&gt;			Animals
426	clothes	&lt;clothes&gt;			Artifacts
427	cold steel	&lt;cold steel&gt;			Artifacts
428	colour	&lt;colour&gt;			N/a
429	container	&lt;container&gt;			N/a
430	crockery	&lt;crockery&gt;			Artifacts
431	curse	&lt;curse&gt;			N/a
432	cabbage	cabbage			N/a
433	caecum (blind gut)	caecum (blind gut)	a cavity open at one end (such as the blind end of a duct), especially a blind pouch connected to the large intestine between the ileum and the colon		N/a
434	cage	cage	enclosure made of bars, normally to hold animals		N/a
435	calendar	calendar	system of organizing days. This is done by giving names to periods of time, typically days, weeks, months and years.		N/a
436	calf (young cow or bull)	calf (young cow or bull)	young cow or bull		N/a
437	calf of a leg	calf of a leg			N/a
438	callus, corn	callus, corn			N/a
439	calm	calm			Non-physical
440	camel	camel			Animals
441	camomile	camomile			N/a
442	camp	camp			Artifacts
443	campfire, bonfire	campfire, bonfire	fire lit outdoors		N/a
444	can, to be able	can, to be able			Modal
445	Cancer (constellation)	Cancer (constellation)	constellation of the zodiac supposedly shaped like a crab		N/a
446	cancer (disease)	cancer (disease)	disease in which the cells of a tissue undergo uncontrolled (and often rapid) proliferation		Mental acts and states
447	candle	candle			N/a
448	cannabis	cannabis			N/a
449	cannon (weapon)	cannon (weapon)			Artifacts
450	cap peak	cap peak			Artifacts
451	cape	cape			Natural objects
452	Capricorn	Capricorn	constellation of the zodiac supposedly shaped like a goat		N/a
453	capsule (pharmacy)	capsule (pharmacy)	small container containing a dose of medicine		N/a
454	captive	captive			Human being
455	capybara	capybara	semi-aquatic South American rodent, Hydrochoerus hydrochaeris, the largest living rodent		N/a
456	carabus (Carabus)	carabus (Carabus)			Animals
457	caraway (meridian fennel)	caraway (meridian fennel)	plant Carum carvi		N/a
458	carriage	carriage			N/a
459	carrion	carrion	dead flesh, carcasses		Physical effect
460	carrot	carrot	plant,  Daucus carota, with edible roots		N/a
461	cartilage	cartilage			Body parts
462	case (grammar)	case (grammar)			Abstract entities
463	case, event	case, event			Abstract entities
464	cast iron	cast iron	hard and brittle, but strong, alloy of iron, carbon, and silicon, formed by casting in a mould		N/a
465	caste	caste			N/a
466	castor bean (Ricinus communis)	castor bean (Ricinus communis)			Plants
467	cat	cat			Animals
468	cat's-foot (Antennaria)	cat&#39;s-foot (Antennaria)			N/a
469	catamaran	catamaran	twin-hulled ship or boat		Evaluation
470	catapult	catapult	a ballistic device used to launch a projectile a great distance without the aid of gunpowder or other propellants – particularly various types of ancient and medieval siege engines		N/a
471	cataract (of the eye)	cataract (of the eye)	clouding of the lens in the eye leading to a decrease in vision		N/a
472	caterpillar	caterpillar			Animals
473	caterpillar track	caterpillar track			N/a
474	catkin	catkin			Plants
475	catnip (Nepeta cataria)	catnip (Nepeta cataria)			Plants
476	cattle	cattle			Animals
477	caul, amniotic sac	caul, amniotic sac			Body parts
478	cauldron	cauldron			Artifacts
479	cause, reason	cause, reason	None		Abstract entities
480	cautious	cautious			N/a
481	cave	cave			Natural objects
482	cavity, hollow	cavity, hollow			Natural objects
483	ceiling	ceiling			Artifacts
484	celebrity	celebrity			Human being
485	celery	celery	herb (Apium graveolens)		Artifacts
486	cell (in biology)	cell (in biology)	basic unit of a living organism, consisting of a quantity of protoplasm surrounded by a cell membrane		N/a
487	cell (of a political party, organization)	cell (of a political party, organization)			Artifacts
488	cell (of honeycomb)	cell (of honeycomb)	small hexagonal compartment in a honeycomb		N/a
489	cellar	cellar			N/a
490	cemetery	cemetery	place where the dead are buried; a graveyard		N/a
491	censer	censer	a vessel for smoking incense during worship		N/a
492	centre	centre			Space
493	centrifuge	centrifuge	device in which a mixture of denser and lighter materials (normally dispersed in a liquid) is separated by being spun about a central axis at high speed		N/a
494	century	century			Time
495	cereal	cereal	type of grass (such as wheat, rice or oats) cultivated for its edible grains		Plants
496	chaff	chaff			Artifacts
497	chaffinch	chaffinch	bird  Fringilla coelebs		N/a
498	chain (n.)	chain (n.)			Artifacts
499	chalk	chalk			N/a
500	chameleon	chameleon			Animals
501	champignon (Agaricus)	champignon (Agaricus)			N/a
502	champion, winner	champion, winner	A person who won a competition		N/a
503	channel, opening in a reef	channel, opening in a reef			N/a
504	chanterelle	chanterelle			Plants
505	chapter (of a book)	chapter (of a book)			Abstract entities
506	charger, cartridge clip	charger, cartridge clip			Artifacts
507	charr (Salvelinus)	charr (Salvelinus)			N/a
508	chatter, idle talk	chatter, idle talk			Abstract entities
509	cheap	cheap			Non-physical
510	cheek	cheek			Body parts
511	cheek-bone	cheek-bone			Body parts
