ID	NUMBER	ENGLISH	LEXIBANK_GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS	NORWEGIAN	NORWEGIAN_FREQUENCY	SWEDISH	SWEDISH_FREQUENCY	BORROWING	ANIMACY	MASS_NOUN	ABSTRACTNESS
Epps-2021-843-17	17	ANT	ANT	587	ANT	maur	12	myra	3	c	1	1	0
Epps-2021-843-18	18	ANVIL	ANVIL	1648	ANVIL	ste	0	städ	0	c	0	0	0
Epps-2021-843-19	19	ANXIETY	ANXIETY 1 // ANXIETY 2 // ANXIETY 3	1000	ANXIETY			ängslan@	10	c	0	x	1
Epps-2021-843-20	20	ARCH	ARCH 1 // ARCH 2	876	ARCH	kvelv	1	valv	15	c	0	0	0
Epps-2021-843-21	21	ARCTIC LIGHTS	ARCTIC LIGHTS 1 // ARCTIC LIGHTS 2	261	ARCTIC LIGHTS	nordlys	0	nordljus,norrljus	0	c	0	1	0
Epps-2021-843-22	22	ARM	ARM	1673	ARM	arm	109	arm	40	c	0	0	0
Epps-2021-843-23	23	ARMOUR	ARMOUR	1061	ARMOUR	rustning	1	rustning	8	l	0	1	0
Epps-2021-843-24	24	ARMPIT	ARMPIT	1886	ARMPIT	armhole	1	armhåla	1	c	0	0	0
Epps-2021-843-25	25	ARMY	ARMY 1 // ARMY 2	1561	ARMY	armé	1	armé	62	l	0	1	0
Epps-2021-843-26	26	ARROW	ARROW	977	ARROW	pil	2	pil	5	c	0	0	0
Epps-2021-843-27	27	ARSON	ARSON	1889	ARSON	mordbrann	53	mordbrand	15	c	0	x	0
Epps-2021-843-28	28	ASH	ASH	646	ASH	oske	12	aska	2	c	0	1	0
Epps-2021-843-29	29	ATTACK	ATTACK 1 // ATTACK 2	722	ATTACK	anfall	1	anfall	31	l	0	1	0
Epps-2021-843-30	30	AUCTION	AUCTION			auksjon		auktion		l	0	0	1
Epps-2021-843-31	31	AUTUMN/FALL	AUTUMN/FALL	1276	AUTUMN	haust	309	höst	196	c	0	1	1
Epps-2021-843-32	32	AWL	AWL	278	AWL	syl	0	syl	0	c	0	0	0
Epps-2021-843-33	33	AXE/AX	AXE/AX	677	AXE	øks	6	yxa	5	c	0	0	0
Epps-2021-843-34	34	AXLE	AXLE	1769	AXLE	aksel	0	axel	22	c	0	0	0
Epps-2021-843-35	35	BACK	BACK	1291	BACK	rygg	102	rygg	45	c	0	0	0
Epps-2021-843-36	36	BACK OF HAND	BACK OF HAND					handbak	0	c	0	0	0
Epps-2021-843-37	37	BAD LUCK	BAD LUCK 1 // BAD LUCK 2	56	BAD LUCK	uheppe	0			c	0	x	1
Epps-2021-843-38	38	BAG	BAG 1 // BAG 2	2468	BAG	pose	10	påse	8	c	0	0	0
Epps-2021-843-39	39	BAIT	BAIT	2013	BAIT	beite	27	bete	5	c	0	0	0
Epps-2021-843-40	40	BAKERY	BAKERY			bakeri		bageri		l	0	0	0
Epps-2021-843-41	41	BALL	BALL 1 // BALL 2	1845	BALL	ball	44	boll	8	c	0	0	0
Epps-2021-843-42	42	BANANA	BANANA	868	BANANA	banan	4	banan	11	l	0	1	0
Epps-2021-843-43	43	BANK	BANK	1284	BANK	bank	90	bank	58	l	0	0	0
Epps-2021-843-44	44	BARK	BARK	1204	BARK	bork	2	bark	4	c	0	1	0
Epps-2021-843-45	45	BARLEY	BARLEY	932	BARLEY	korn	31	korn	21	c	0	1	0
Epps-2021-843-46	46	BASKET	BASKET 1 // BASKET 2 // BASKET 3	1539	BASKET	skrukke	3	skruck	0	c	0	0	0
Epps-2021-843-47	47	BAT	BAT 1 // BAT 2	1793	BAT	flaggermus	1	fladdermus	1	c	1	1	0
Epps-2021-843-48	48	BATTERY	BATTERY	662	BATTERY	batteri	3	batteri	7	l	0	0	0
Epps-2021-843-49	49	BAY	BAY 1 // BAY 2	663	BAY	vik	10	vik	16	c	0	0	0
Epps-2021-843-50	50	BEAD	BEAD	1860	BEAD	perle	6	pärla	10	l	0	0	0
Epps-2021-843-51	51	BEAK	BEAK	73	BEAK	nebb	2	näbb	3	l	0	0	0
Epps-2021-843-52	52	BEAM	BEAM 1 // BEAM 2	1132	BEAM	bom	18	bom	4	l	0	0	0
Epps-2021-843-53	53	BEAN	BEAN	832	BEAN	bønne	0	böna	10	c	0	0	0
Epps-2021-843-54	54	BEAR	BEAR	1820	BEAR	bjørn	6	björn	7	c	1	0	0
Epps-2021-843-55	55	BEARD	BEARD	678	BEARD	skjegg	12	skägg	16	c	0	0	0
Epps-2021-843-56	56	BEAUTY	BEAUTY	4051	BEAUTY	skjønnheit		skönhet		l	0	1	1
Epps-2021-843-57	57	BEAVER	BEAVER 1 // BEAVER 2	1194	BEAVER	bjor	0	bjur	0	l	1	0	0
Epps-2021-843-58	58	BED	BED	1663	BED	seng	98	säng	48	c	0	0	0
Epps-2021-843-59	59	BEE	BEE 1 // BEE 2	665	BEE	bie	0	bi	7	c	1	1	0
Epps-2021-843-60	60	BEECH	BEECH	1950	BEECH	bok	0	bok	5	c	0	1	0
Epps-2021-843-61	61	BEEHIVE	BEEHIVE 1 // BEEHIVE 2	88	BEEHIVE	kupe	0	bikupa	2	l	0	0	0
Epps-2021-843-62	62	BEER	BEER 1 // BEER 2	1639	BEER	øl	56	öl	54	c	0	1	0
Epps-2021-843-63	63	BEESWAX	BEESWAX	1931	BEESWAX	voks	0	bivax	6	c	0	1	0
Epps-2021-843-64	64	BEETLE	BEETLE	2242	BEETLE	tordivel	3	tordyvel	0	l	1	0	0
Epps-2021-843-65	65	BEGGAR	BEGGAR	1934	BEGGAR	tiggar	0	tiggare	1	c	1	0	0
Epps-2021-843-66	66	BEGINNING	BEGINNING	1557	BEGINNING	byrjing	49	början	347	c	0	0	1
Epps-2021-843-67	67	BELLY	BELLY 1 // BELLY 2	1251	BELLY	mage	36	mage	12	c	0	0	0
Epps-2021-843-68	68	BELT	BELT	772	BELT	belte	3	bälte	9	l	0	0	0
Epps-2021-843-69	69	BICYCLE	BICYCLE	747	BICYCLE	sykkel	92	cykel	18	l	0	0	0
Epps-2021-843-70	70	BILL	BILL	1081	BILL	rekning	32	räkning	36	l	0	0	0
Epps-2021-843-71	71	BIRCH	BIRCH	1855	BIRCH	bjørk	10	björk	6	c	0	1	0
Epps-2021-843-72	72	BIRCH BARK	BIRCH BARK			never	2	näver	0	c	0	1	0
Epps-2021-843-73	73	BIRD	BIRD	937	BIRD	fugl	34	fågel	75	c	1	1	0
Epps-2021-843-74	74	BIRTH CERTIFICATE	BIRTH CERTIFICATE 1 // BIRTH CERTIFICATE 2					personbevis,födelsebevis n	68	l	0	0	0
Epps-2021-843-75	75	BLACKSMITH	BLACKSMITH	1001	BLACKSMITH	smed	7	smed	3	c	1	0	0
Epps-2021-843-76	76	BLAME	BLAME	381	BLAME	skuld, skyld	114	skuld	183	c	0	x	1
Epps-2021-843-77	77	BLANKET/FELT	BLANKET/FELT	806	BLANKET	filt	0	filt	6	l	0	0	0
Epps-2021-843-78	78	BLISTER	BLISTER 1 // BLISTER 2 // BLISTER 3	1584	BLISTER	blåse	3	blåsa	0	c	0	0	0
Epps-2021-843-79	79	BLOOD	BLOOD	946	BLOOD	blod	48	blod	35	c	0	0	0
Epps-2021-843-80	80	BOAR	BOAR	1348	BOAR (MALE PIG)	galt, galte	0	galt	1	c	1	0	0
Epps-2021-843-81	81	BOARD	BOARD	1227	BOARD	brett	8	bräde	1	l	0	0	0
Epps-2021-843-82	82	BOAT	BOAT	1844	BOAT	båt	248	båt	101	l	0	0	0
Epps-2021-843-83	83	BODY	BODY	1480	BODY	kropp	101	kropp	70	c	0	0	0
Epps-2021-843-84	84	BOIL	BOIL	2493	BOIL	byll, bolde	2	böld	3	c	0	0	0
Epps-2021-843-85	85	BOMB	BOMB	1804	BOMB	bombe	17	bomb	25	l	0	0	0
Epps-2021-843-86	86	BONE	BONE	1394	BONE	bein	70	ben	44	c	0	0	0
Epps-2021-843-87	87	BOOK	BOOK	963	BOOK	bok	674	bok	876	c	0	0	0
Epps-2021-843-88	88	BOOMERANG	BOOMERANG	135	BOOMERANG	bumerang	0	bumerang	3	l	0	0	0
Epps-2021-843-89	89	BOOT	BOOT	585	BOOT	støvel	5	stövel	11	l	0	0	0
Epps-2021-843-90	90	BOOTY	BOOTY	1022	BOOTY	bytte	4	byte	11	l	0	1	0
Epps-2021-843-91	91	BOTTLE	BOTTLE 1 // BOTTLE 2	1321	BOTTLE	flaske	30	flaska	40	c	0	0	0
Epps-2021-843-92	92	BOTTOM	BOTTOM	690	BOTTOM	botn	55	botten	50	c	0	0	0
Epps-2021-843-93	93	BOUNDARY	BOUNDARY 1 // BOUNDARY 2	1010	BOUNDARY	rå	250	rå	0	c	0	0	0
Epps-2021-843-94	94	BOW	BOW	994	BOW	boge	11	båge	7	c	0	0	0
Epps-2021-843-95	95	BOWL	BOWL 1 // BOWL 2 // BOWL 3 // BOWL 4	1530	BOWL	skål	10	skål	17	c	0	0	0
Epps-2021-843-96	96	BOX ON THE EAR	BOX ON THE EAR 1			øyrefik	1	örfil	10	l	0	x	0
Epps-2021-843-97	97	BRACELET	BRACELET	1754	BRACELET	armband	52	armband	1	c	0	0	0
Epps-2021-843-98	98	BRAIN	BRAIN	1583	BRAIN	hjerne	8	hjärna	36	c	0	0	0
Epps-2021-843-99	99	BRANCH	BRANCH 1 // BRANCH 2	1531	BRANCH	grein	33	gren	20	c	0	0	0
Epps-2021-843-100	100	BREAD	BREAD	1368	BREAD	brød	46	bröd	33	c	0	0	0
Epps-2021-843-101	101	BREAKFAST	BREAKFAST	1322	BREAKFAST	frukost	13	frukost	6	l	0	1	0
Epps-2021-843-102	102	BRICK	BRICK	1006	BRICK	tegl	0	tegel	21	l	0	0	0
Epps-2021-843-103	103	BRIDGE	BRIDGE	1011	BRIDGE	bru	87	bro	32	c	0	0	0
Epps-2021-843-104	104	BROOM	BROOM	245	BROOM	lime	1	limme	0	c	0	0	0
Epps-2021-843-105	105	BRUISE	BRUISE	1148	BRUISE	skramme	2	skråma,skramma	1	c	0	0	0
Epps-2021-843-106	106	BRUSH	BRUSH 1 // BRUSH 2	1821	BRUSH	kost	20	kvast&	2	c	0	0	0
Epps-2021-843-107	107	BULL	BULL	1008	BULL	tyr	2	tjur	28	c	1	1	0
Epps-2021-843-108	108	BUNCH	BUNCH 1 // BUNCH 2 // BUNCH 3 // BUNCH 4 // BUNCH 5 // BUNCH 6	1966	BUNCH	kongel	0	kangel	0	c	0	1	0
Epps-2021-843-109	109	BUS	BUS	1070	BUS	buss	125	buss	39	l	0	0	0
Epps-2021-843-110	110	BUTTER	BUTTER	1245	BUTTER	smør	19	smör	18	c	0	1	0
Epps-2021-843-111	111	BUTTERFLY	BUTTERFLY	1791	BUTTERFLY	fivreld	0	fjäril	4	c	1	0	0
Epps-2021-843-112	112	BUTTOCKS	BUTTOCKS	834	BUTTOCKS	rauv	0	röv	0	c	0	0	0
Epps-2021-843-113	113	BUTTOCKS/TAIL	BUTTOCKS/TAIL	1220	TAIL	rumpe	1	rumpa	0	c	0	0	0
Epps-2021-843-114	114	BUTTON	BUTTON	757	BUTTON	knapp	6	knapp	12	c	0	0	0
Epps-2021-843-115	115	CALENDAR	CALENDAR 1 // CALENDAR 2	1967	CALENDAR	almanakk	2	almanacka	0	l	0	0	0
Epps-2021-843-116	116	CALF	CALF	1989	CALF	kalv	31	kalv	4	c	1	0	0
Epps-2021-843-117	117	CALF OF THE LEG	CALF OF THE LEG	498	CALF OF LEG			vad	1	l	0	0	0
Epps-2021-843-118	118	CAMP	CAMP 1 // CAMP 2	1105	CAMP	bose	0	bås	1	c	0	1	0
Epps-2021-843-119	119	CANDY/SWEETS	CANDY/SWEETS	874	CANDY	godteri@	0	godis	1		0	0	0
Epps-2021-843-120	120	CANOE	CANOE	1970	CANOE	kano	1	kanot	0	l	0	0	0
Epps-2021-843-121	121	CAPTIVE OR PRISONER	CAPTIVE OR PRISONER	1072	PRISONER	fange	34	fånge	34	l	1	0	0
Epps-2021-843-122	122	CAR	CAR	1111	CAR	bil	356	bil	312	l	0	0	0
Epps-2021-843-123	123	CARCASS	CARCASS 1 // CARCASS 2 // CARCASS 3	1770	CARCASS	åtsel	0				0	0	0
Epps-2021-843-124	124	CARPENTER	CARPENTER	1042	CARPENTER	snikkar	9	snickare	2	l	1	0	0
Epps-2021-843-125	125	CART OR WAGON	CART OR WAGON 1 // CART OR WAGON 2	122	CART	vogn	29	vagn	41	c	0	0	0
Epps-2021-843-126	126	CAT	CAT	1208	CAT	katt, katte	32	katt	34	c	1	0	0
Epps-2021-843-127	127	CATTLE	CATTLE	1153	CATTLE	krek	1	krak&	0	l	1	1	0
Epps-2021-843-128	128	CATTLE FARMER	CATTLE FARMER					uppfödare		c	1	0	0
Epps-2021-843-129	129	CAUSE	CAUSE 1 // CAUSE 2 // CAUSE 3	860	CAUSE			anledning,orsak	242	l	0	0	1
Epps-2021-843-130	130	CAVE	CAVE 1 // CAVE 2	1155	CAVE	grotte	0	grotta	11	l	0	0	0
Epps-2021-843-131	131	CELERY	CELERY	3727	CELERY	selleri		selleri		l	0	0	0
Epps-2021-843-132	132	CENTIPEDE	CENTIPEDE	1974	CENTIPEDE			tusenfoting	0	l	1	0	0
Epps-2021-843-133	133	CHAIN	CHAIN	1627	CHAIN	kjede	2	kedja	15	l	0	0	0
Epps-2021-843-134	134	CHAIR	CHAIR	1476	CHAIR	stol	70	stol	41	c	0	0	0
Epps-2021-843-135	135	CHARCOAL	CHARCOAL	1188	CHARCOAL	kol	0	träkol, kol	1	c	0	1	0
Epps-2021-843-136	136	CHEEK	CHEEK	1730	CHEEK	kinn	25	kind	5	c	0	0	0
Epps-2021-843-137	137	CHEESE	CHEESE	1569	CHEESE	ost	11	ost	8	c	0	1	0
Epps-2021-843-138	138	CHEST	CHEST	1592	CHEST	bryst	36	bröst	20	c	0	0	0
Epps-2021-843-139	139	CHICKEN	CHICKEN	1318	CHICKEN	kjukling	0	kyckling	3	c	1	1	0
Epps-2021-843-140	140	CHILD	CHILD	2099	CHILD	barn	513	barn	518	c	1	0	0
Epps-2021-843-141	141	CHILDHOOD	CHILDHOOD			barndom		barndom		c	0	1	1
Epps-2021-843-142	142	CHIMNEY	CHIMNEY 1 // CHIMNEY 2	1305	CHIMNEY	skorstein	2	skorsten	4	l	0	0	0
Epps-2021-843-143	143	CHIN	CHIN	1510	CHIN	hake	14	haka	2	c	0	0	0
Epps-2021-843-144	144	CHISEL	CHISEL	1979	CHISEL	meisel	0	mejsel	1	l	0	0	0
Epps-2021-843-145	145	CHURCH	CHURCH	1349	CHURCH	kyrkje	309	kyrka	307	l	0	0	0
Epps-2021-843-146	146	CHURN-STAFF	CHURN-STAFF			tverel	0	törel	0	c	0	1	0
Epps-2021-843-147	147	CIGARETTE	CIGARETTE	969	CIGARETTE	sigarett	8	cigarett	19	l	0	0	0
Epps-2021-843-148	148	CIRCLE	CIRCLE 1 // CIRCLE 2	1467	CIRCLE	sirkel	9	cirkel	41	l	0	0	0
Epps-2021-843-149	149	CITIZEN	CITIZEN 1 // CITIZEN 2	1032	CITIZEN	statsborgar	6	medborgare	62	l	1	0	0
Epps-2021-843-150	150	CLAW	CLAW	72	CLAW	klo	2	klo	3	c	0	0	0
Epps-2021-843-151	151	CLAY/MUD	CLAY/MUD	640	MUD	leire	38	lera	7	c	0	1	0
Epps-2021-843-152	152	CLIFF	CLIFF 1 // CLIFF 2	992	CLIFF	klippe	0	klippa	15	l	0	1	0
Epps-2021-843-153	153	CLOAK	CLOAK	326	CLOAK	mantel	0	mantel	7	l	0	0	0
Epps-2021-843-154	154	CLOCK	CLOCK	1323	CLOCK	klokke	123	klocka	64	l	0	0	0
Epps-2021-843-155	155	CLOTH	CLOTH	1616	CLOTH	tøy	4	tyg	34	l	0	0	0
Epps-2021-843-156	156	CLOTHING OR CLOTHES	CLOTHING OR CLOTHES	1895	CLOTHES	klede	90	kläde&	0	l	0	0	0
Epps-2021-843-157	157	CLOUD	CLOUD	1489	CLOUD	mol	0	moln	13	c	0	1	0
Epps-2021-843-158	158	CLUB	CLUB	1763	CLUB	klubbe	3	klubba	5	c	0	0	0
Epps-2021-843-159	159	COAT	COAT 1 // COAT 2	603	COAT	kappe	10	kappa	43	l	0	0	0
Epps-2021-843-160	160	COCKROACH	COCKROACH	1575	COCKROACH	kakerlakk	0	kackerlacka	0	l	1	1	0
Epps-2021-843-161	161	COD	COD					torsk	7	c	1	1	0
Epps-2021-843-162	162	COFFEE	COFFEE	1299	COFFEE	kaffi	108	kaffe	47	l	0	1	0
Epps-2021-843-163	163	COIN	COIN 1 // COIN 2 // COIN 3	1867	COIN	skilling	14	skilling	0	l	0	1	0
Epps-2021-843-164	164	COLD	COLD 1 // COLD 2	1287	COLD	krim	1			c	0	1	0
Epps-2021-843-165	165	COLLAR	COLLAR	2012	COLLAR	krage	4	krage	12	l	0	0	0
Epps-2021-843-166	166	COMB	COMB	1475	COMB	kam	0	kam	7	c	0	0	0
Epps-2021-843-167	167	COMBINE HARVESTER	COMBINE HARVESTER			skurtreskar	3	skördetröska f	1	c	0	0	0
Epps-2021-843-168	168	COMPANY	COMPANY			selskap		sällskap		l	0	1	1
Epps-2021-843-169	169	COMPUTER	COMPUTER	3086	COMPUTER	datamaskin				l	0	0	0
Epps-2021-843-170	170	CONE	CONE 1 // CONE 2	287	CONE	kjegle	1	kägla	3	l	0	0	0
Epps-2021-843-171	171	COPPER	COPPER	1825	COPPER	kopar	4	koppar	16	l	0	0	0
Epps-2021-843-172	172	CORMORANT	CORMORANT	840	CORMORANT	skarv	2	skarv	3	c	1	0	0
Epps-2021-843-173	173	CORNER	CORNER 1 // CORNER 2	192	CORNER	hjørne, hyrne	27	hörn	55	c	0	0	0
Epps-2021-843-174	174	CORPSE	CORPSE	767	CORPSE	lik	8	lik	10	c	0	0	0
Epps-2021-843-175	175	COTTON	COTTON	1850	COTTON	bomull	6	bomull	5	l	0	1	0
Epps-2021-843-176	176	COUNTENANCE	COUNTENANCE			andlet		anlete	2	c	0	0	0
Epps-2021-843-177	177	COUNTRY	COUNTRY	1300	COUNTRY	landskap		landskap		c	0	0	1
Epps-2021-843-178	178	COURT	COURT 1 // COURT 2 // COURT 3	1068	COURT	domstol	7	domstol	65	c	0	0	0
Epps-2021-843-179	179	COUSIN	COUSIN 1	1643	COUSIN			kusin	11	l	1	0	0
Epps-2021-843-180	180	COW	COW	1007	COW	ku	60	ko	15	c	1	1	0
Epps-2021-843-181	181	CRIME	CRIME 1 // CRIME 2	1066	CRIME	brot, brott	34	brott	47	c	0	0	1
Epps-2021-843-182	182	CROCODILE	CROCODILE	1857	CROCODILE	krokodille	1	krokodil	1	l	1	0	0
Epps-2021-843-183	183	CROSS	CROSS 1 // CROSS 2	574	TRANSIT	kors	0	kors	23	l	0	0	0
Epps-2021-843-184	184	CROW	CROW	913	CROW	kråke	11	kråka	5	c	1	1	0
Epps-2021-843-185	185	CROWD	CROWD	2023	CROWD	folkehop	40	folkhop	6	l	0	1	0
Epps-2021-843-186	186	CUP	CUP	476	CUP	bekar	0	bägare	4	l	0	0	0
Epps-2021-843-187	187	CUSTOM	CUSTOM 1 // CUSTOM 2	1747	CUSTOM	sed	3	sed	16	c	0	1	0
Epps-2021-843-188	188	DAIRY	DAIRY			meieri		mejeri		l	0	0	0
Epps-2021-843-189	189	DANDRUFF	DANDRUFF 1 // DANDRUFF 2	576	DANDRUFF	flas, flass	0	flas	0	c	0	1	0
Epps-2021-843-190	190	DANGER	DANGER 1 // DANGER 2 // DANGER 3	1810	DANGER			farlighet	5	l	0	x	1
Epps-2021-843-191	191	DARKNESS	DARKNESS	11	DARKNESS	mørke,mørker	43	mörker	37	c	0	1	0
Epps-2021-843-192	192	DAWN	DAWN 1 // DAWN 2 // DAWN 3	729	DAWN	lysing,lysning	12	lysning	1	c	0	0	1
Epps-2021-843-193	193	DAY	DAY	1225	DAY (NOT NIGHT)	dag	2179	dag	1454	c	0	0	1
Epps-2021-843-194	194	DEBRIS	DEBRIS 1 // DEBRIS 2 // DEBRIS 3 // DEBRIS 4			rat	0	rat	0	c	0	0	0
Epps-2021-843-195	195	DEBT	DEBT	1914	DEBT	skuld	114	skuld	62	c	0	0	1
Epps-2021-843-196	196	DECEIT	DECEIT 1 // DECEIT 2 // DECEIT 3	13	DECEIT	svik	8	svek	4	c	0	x	1
Epps-2021-843-197	197	DEER	DEER 1 // DEER 2	1936	DEER	rådyr	2	rådjur	8	c	1	0	0
Epps-2021-843-198	198	DEFEAT	DEFEAT 1 // DEFEAT 2	782	DEFEAT	nederlag	17	nederlag	30	l	0	1	1
Epps-2021-843-199	199	DEFENDANT	DEFENDANT	1034	DEFENDANT			svarande	1	c	1	0	0
Epps-2021-843-200	200	DEMON	DEMON 1 // DEMON 2 // DEMON 3	1973	DEMON	demon	3	demon	3	l	1	0	1
Epps-2021-843-201	201	DESCENDANTS	DESCENDANTS	490	DESCENDANTS	ætling	0	ättlingar	6	c	1	0	0
Epps-2021-843-202	202	DEW	DEW	1977	DEW	dogg	3	dagg	1	c	0	1	0
Epps-2021-843-203	203	DEVIL (SMALL)	DEVIL (SMALL)	3917	DEVIL	puke	0	puke	0	c	0	1	1
Epps-2021-843-204	204	DIFFERENCE	DIFFERENCE			skilnad	100	skillnad	148	c	0	x	1
Epps-2021-843-205	205	DINNER/MIDDAY	DINNER/MIDDAY	12	MIDDAY	middag	39	middag	36	c	0	1	0
Epps-2021-843-206	206	DIRECTION	DIRECTION	3427	DIRECTION	strekk	3	väderstreck	3	c	0	x	1
Epps-2021-843-207	207	DISAGREEMENT	DISAGREEMENT					delo	0	c	0	0	1
Epps-2021-843-208	208	DISCUSSION	DISCUSSION			diskusjon		diskussion		l	0	0	1
Epps-2021-843-209	209	DISEASE	DISEASE 1 // DISEASE 2 // DISEASE 3	1986	DISEASE	sjuke	0	sjuka	2	c	0	1	0
Epps-2021-843-210	210	DISH	DISH	481	DISH	fat	13	fat	8	c	0	0	0
Epps-2021-843-211	211	DISTINCTION	DISTINCTION			utmerking		utmärkelse		c	0	0	1
Epps-2021-843-212	212	DITCH	DITCH	2002	DITCH	dike	3	dike	10	c	0	0	0
Epps-2021-843-213	213	DOG	DOG 1 // DOG 2	2009	DOG	hund	54	hund	95	c	1	0	0
Epps-2021-843-214	214	DONKEY	DONKEY	1862	DONKEY	esel	6	åsna	10	l	1	0	0
Epps-2021-843-215	215	DOOR	DOOR	1567	DOOR	dør	217	dörr	116	c	0	0	0
Epps-2021-843-216	216	DOORPOST/POST	DOORPOST/POST	281	POST	post	81	dörrpost	1	l	0	0	0
Epps-2021-843-217	217	DOUBT	DOUBT 1 // DOUBT 2 // DOUBT 3	1308	DOUBT	tvil	123	tvivel	76	l	0	x	1
Epps-2021-843-218	218	DOUGH	DOUGH	273	DOUGH	deig	0	deg	2	c	0	1	0
Epps-2021-843-219	219	DOVE	DOVE	1853	DOVE	due	0	duva	6	c	1	1	0
Epps-2021-843-220	220	DRINK	DRINK 1 // DRINK 2	731	BEVERAGE	drikk, drykk	3	dryck	15	c	0	1	0
Epps-2021-843-221	221	DRIVER'S LICENSE	DRIVER'S LICENSE	599	DRIVER'S LICENSE	førarkort	12	körkort	12	l	0	0	0
Epps-2021-843-222	222	DRUM	DRUM	908	DRUM	tromme	18	trumma	10	l	0	0	0
Epps-2021-843-223	223	DRUNKENNESS	DRUNKENNESS			fyll		fylleri@		c	0	1	1
Epps-2021-843-224	224	DUCK	DUCK 1 // DUCK 2	1360	DUCK	and	4	and	7	c	1	0	0
Epps-2021-843-225	225	DUST	DUST 1 // DUST 2	2	DUST			damm	7	l	0	1	0
Epps-2021-843-226	226	EAGLE	EAGLE	1905	EAGLE	ørn	1	örn	7	c	1	0	0
Epps-2021-843-227	227	EAR	EAR	1247	EAR	øyre, øyra	64	öra	48	c	0	0	0
Epps-2021-843-228	228	EARLOBE	EARLOBE	18	EARLOBE	øyresnipp	0	öronsnibb,örsnibb	1	l	0	0	0
Epps-2021-843-229	229	EARRING/HANGER	EARRING/HANGER	770	EARRING	henge	0	örhänge	1	c	0	0	0
Epps-2021-843-230	230	EARRING/PLUG	EARRING/PLUG			øyredobb	0	dubb&	2	c	0	0	0
Epps-2021-843-231	231	EARTHQUAKE	EARTHQUAKE 1 // EARTHQUAKE 2	6	EARTHQUAKE			jordbävning	3	c	0	1	0
Epps-2021-843-232	232	EARWAX	EARWAX	32	EARWAX	øyrevoks	0	öronvax	6	c	0	1	0
Epps-2021-843-233	233	EDGE	EDGE	863	EDGE	kant	92	kant	27	l	0	0	0
Epps-2021-843-234	234	EEL	EEL	1013	FRESHWATER EEL	ål	13	ål	1	c	1	0	0
Epps-2021-843-235	235	EGG	EGG	744	EGG	egg	2	ägg	31	c	0	0	0
Epps-2021-843-236	236	ELBOW	ELBOW	981	ELBOW	olboge	4	armbåge	1	c	0	0	0
Epps-2021-843-237	237	ELECTION	ELECTION	240	ELECTION	val	177	val	179	c	0	0	1
Epps-2021-843-238	238	ELECTRICITY	ELECTRICITY 1 // ELECTRICITY 2	59	ELECTRICITY	straum	55	ström	54	c	0	1	0
Epps-2021-843-239	239	ELK/MOOSE	ELK/MOOSE 1 // ELK/MOOSE 2	1772	ELK	elg	43	älg	12	c	1	0	0
Epps-2021-843-240	240	EMAIL	EMAIL					mejl		l	0	0	0
Epps-2021-843-241	241	EMAIL/POST	EMAIL/POST			e-post		post&		l	0	0	0
Epps-2021-843-242	242	EMBERS	EMBERS	67	EMBERS	glo	3	glöd	6	c	0	1	0
Epps-2021-843-243	243	END	END	742	END (OF SPACE)	slutt	379	slut	344	l	0	0	0
