ID	NUMBER	ENGLISH	SHIFTS	SHIFT_URL	DEGREE	WEIGHTED_DEGREE	CONCEPTICON_ID	CONCEPTICON_GLOSS
Zalizniak-2020-2591-11	11	to fall down	11:→:24 11:→:14 11:→:11 11:→:11 11:→:11 11:→:10 11:—:8 11:→:8 11:→:7 11:→:7 11:→:6 11:→:4 11:→:4 11:↔:3 11:→:3 11:→:2 11:→:2 11:→:1 11:—:1 11:→:1 11:→:1 11:→:1 11:→:1 11:→:1	shift975 shift342 shift1692 shift2260 shift1825 shift934 shift1590 shift1132 shift1319 shift880 shift592 shift3150 shift846 shift2019 shift3505 shift844 shift2793 shift38 shift727 shift2138 shift1693 shift3530 shift1895 shift2259	24	142	1280	FALL
Zalizniak-2020-2591-12	12	white	12:→:12 12:—:7 12:—:6 12:—:5 12:—:4 12:—:4 12:→:3 12:→:3 12:→:3 12:→:3 12:→:2 12:→:2 12:→:2 12:→:2 12:—:2 12:→:1 12:→:1 12:—:1 12:—:1 12:—:1 12:→:1 12:→:1 12:→:1	shift3701 shift813 shift102 shift766 shift1431 shift768 shift3158 shift2162 shift2361 shift2129 shift2526 shift815 shift836 shift2296 shift3423 shift3233 shift2944 shift103 shift814 shift101 shift204 shift4017 shift4187	23	68	1335	WHITE
Zalizniak-2020-2591-13	13	hand/arm	13:→:10 13:↔:9 13:—:7 13:—:6 13:→:6 13:↔:5 13:→:4 13:→:3 13:→:3 13:→:2 13:→:2 13:→:2 13:→:2 13:→:2 13:—:2 13:→:2 13:→:1 13:→:1 13:→:1 13:→:1 13:→:1 13:→:1 13:→:1	shift522 shift1206 shift3628 shift1205 shift649 shift2662 shift2388 shift3336 shift542 shift2938 shift339 shift2387 shift2778 shift3318 shift561 shift3381 shift3271 shift1828 shift2352 shift650 shift3335 shift2786 shift2939	23	74	2121	ARM OR HAND
Zalizniak-2020-2591-14	14	nose	14:→:16 14:→:16 14:→:15 14:→:11 14:→:6 14:→:4 14:↔:4 14:→:3 14:→:3 14:→:2 14:→:2 14:→:1 14:→:1 14:—:1 14:—:1 14:→:1 14:—:1 14:→:1 14:—:1 14:—:1 14:→:1 14:→:1	shift495 shift490 shift491 shift493 shift498 shift494 shift497 shift501 shift492 shift777 shift500 shift3565 shift3005 shift2223 shift2149 shift499 shift3922 shift496 shift1208 shift2222 shift2008 shift2007	22	93	1221	NOSE
Zalizniak-2020-2591-15	15	black	15:→:12 15:→:7 15:→:6 15:→:5 15:→:5 15:→:3 15:→:3 15:—:3 15:↔:2 15:→:2 15:→:2 15:→:2 15:→:2 15:→:1 15:→:1 15:—:1 15:—:1 15:→:1 15:→:1 15:—:1 15:→:1	shift1699 shift1478 shift1907 shift875 shift3210 shift876 shift2414 shift4000 shift800 shift1130 shift2413 shift874 shift2315 shift2318 shift3261 shift3044 shift4271 shift2316 shift1709 shift4267 shift2317	21	62	163	BLACK
Zalizniak-2020-2591-16	16	Boletus edulis	16:—:4 16:—:3 16:—:2 16:—:2 16:—:2 16:—:2 16:—:2 16:—:2 16:—:1 16:—:1 16:—:1 16:—:1 16:—:1 16:—:1 16:—:1 16:—:1 16:—:1 16:—:1 16:—:1 16:—:1 16:—:1	shift3781 shift3794 shift3802 shift3785 shift3805 shift3780 shift3792 shift3782 shift3791 shift3788 shift3786 shift3807 shift3806 shift3804 shift3789 shift3798 shift3808 shift3790 shift3803 shift3784 shift3783	21	32		
Zalizniak-2020-2591-17	17	to throw	17:—:23 17:—:13 17:—:9 17:→:8 17:→:4 17:→:4 17:→:3 17:—:2 17:→:2 17:→:2 17:→:1 17:—:1 17:→:1 17:→:1 17:—:1 17:→:1 17:→:1 17:→:1 17:→:1 17:—:1	shift3618 shift113 shift1641 shift380 shift997 shift771 shift1371 shift1260 shift2732 shift3139 shift1762 shift258 shift302 shift998 shift618 shift3144 shift3585 shift3447 shift301 shift4288	20	80	1456	THROW
Zalizniak-2020-2591-18	18	red	18:↔:9 18:→:6 18:—:4 18:↔:4 18:—:3 18:→:2 18:→:1 18:—:1 18:—:1 18:→:1 18:—:1 18:—:1 18:→:1 18:—:1 18:—:1 18:→:1 18:→:1 18:—:1 18:→:1	shift801 shift1149 shift2376 shift413 shift4124 shift3259 shift3517 shift825 shift2069 shift2765 shift2978 shift4004 shift3068 shift4105 shift3827 shift4146 shift3260 shift2764 shift1338	19	41	156	RED
Zalizniak-2020-2591-19	19	big	19:→:13 19:—:12 19:—:4 19:→:4 19:—:3 19:→:3 19:→:3 19:→:2 19:→:2 19:↔:2 19:—:1 19:→:1 19:—:1 19:→:1 19:—:1 19:→:1 19:—:1 19:—:1 19:—:1	shift2541 shift715 shift2881 shift716 shift2084 shift2333 shift2848 shift2852 shift2047 shift3376 shift1716 shift3377 shift3877 shift2941 shift2851 shift2853 shift2757 shift935 shift689	19	57	1202	BIG
Zalizniak-2020-2591-20	20	to break (tr.)	20:—:12 20:→:6 20:→:5 20:→:4 20:→:4 20:→:3 20:→:3 20:→:2 20:→:2 20:→:1 20:→:1 20:→:1 20:→:1 20:→:1 20:—:1 20:→:1 20:→:1 20:→:1	shift2134 shift2135 shift1400 shift2530 shift2532 shift180 shift1384 shift2533 shift3418 shift1276 shift1275 shift3315 shift3476 shift3316 shift3345 shift2531 shift3453 shift3679	18	50		
Zalizniak-2020-2591-21	21	tail	21:→:7 21:→:7 21:—:6 21:→:5 21:→:4 21:→:3 21:→:2 21:—:2 21:→:2 21:→:1 21:→:1 21:→:1 21:→:1 21:→:1 21:→:1 21:—:1 21:—:1 21:→:1	shift971 shift1800 shift1485 shift2152 shift1486 shift1553 shift1770 shift1645 shift4198 shift1809 shift1806 shift4212 shift3263 shift3025 shift3026 shift1805 shift1487 shift1769	18	47	1220	TAIL
Zalizniak-2020-2591-22	22	straight	22:→:13 22:→:11 22:—:5 22:→:4 22:—:3 22:→:2 22:→:2 22:—:2 22:—:2 22:—:1 22:→:1 22:→:1 22:—:1 22:→:1 22:—:1 22:—:1 22:—:1 22:—:1	shift61 shift1017 shift1295 shift60 shift4195 shift1889 shift1890 shift2028 shift3749 shift3765 shift3598 shift3438 shift279 shift442 shift2039 shift3750 shift3764 shift3763	18	53	1404	STRAIGHT
Zalizniak-2020-2591-23	23	to go after smb.	23:→:37 23:→:14 23:→:11 23:→:11 23:→:10 23:→:7 23:→:3 23:→:1 23:→:1 23:→:1 23:→:1 23:→:1 23:—:1 23:→:1 23:—:1 23:—:1 23:→:1	shift2183 shift1749 shift2243 shift2244 shift1403 shift4216 shift1812 shift4203 shift1810 shift1750 shift4217 shift3448 shift4219 shift4218 shift4220 shift3595 shift1751	17	103		
Zalizniak-2020-2591-24	24	thin (of an object)	24:—:11 24:—:8 24:→:8 24:→:6 24:→:2 24:—:2 24:—:2 24:→:1 24:→:1 24:—:1 24:—:1 24:→:1 24:→:1 24:→:1 24:→:1 24:→:1 24:→:1	shift2036 shift2035 shift1103 shift2040 shift2910 shift2034 shift2033 shift2863 shift3244 shift2041 shift2880 shift336 shift1414 shift2914 shift3518 shift1737 shift2915	17	49	2249	THIN (OF SHAPE OF OBJECT)
Zalizniak-2020-2591-25	25	strong	25:↔:12 25:→:9 25:→:7 25:↔:5 25:—:5 25:—:2 25:↔:2 25:→:2 25:↔:2 25:→:1 25:→:1 25:—:1 25:→:1 25:→:1 25:→:1 25:—:1 25:—:1	shift789 shift1365 shift220 shift349 shift3619 shift2758 shift2497 shift2349 shift3376 shift351 shift1789 shift3972 shift4071 shift352 shift2481 shift723 shift2755	17	54	785	STRONG
Zalizniak-2020-2591-26	26	hot	26:→:20 26:→:13 26:→:9 26:→:8 26:→:5 26:—:3 26:→:3 26:→:2 26:→:2 26:→:1 26:→:1 26:→:1 26:→:1 26:→:1 26:—:1 26:→:1 26:—:1	shift870 shift2015 shift869 shift1721 shift69 shift1720 shift3684 shift2616 shift2895 shift3567 shift156 shift3095 shift2538 shift558 shift3923 shift2867 shift3224	17	73	1286	HOT
Zalizniak-2020-2591-27	27	heavy (of weight)	27:→:22 27:→:20 27:→:16 27:→:8 27:—:6 27:→:3 27:→:3 27:→:3 27:→:2 27:—:2 27:→:2 27:→:1 27:→:1 27:→:1 27:→:1 27:→:1 27:—:1	shift851 shift366 shift849 shift550 shift736 shift1861 shift367 shift1096 shift1097 shift2758 shift1864 shift179 shift2014 shift3469 shift4148 shift4149 shift2757	17	93	1210	HEAVY
Zalizniak-2020-2591-28	28	to touch	28:→:7 28:→:4 28:→:4 28:→:4 28:—:3 28:→:2 28:→:2 28:—:1 28:—:1 28:→:1 28:→:1 28:→:1 28:—:1 28:—:1 28:→:1 28:—:1	shift360 shift1655 shift359 shift1300 shift3777 shift361 shift2892 shift3773 shift2891 shift1289 shift1256 shift1938 shift3742 shift3778 shift2206 shift3779	16	35	1892	TOUCH
Zalizniak-2020-2591-29	29	to grasp, seize	29:→:48 29:→:5 29:→:3 29:→:2 29:→:2 29:→:2 29:—:2 29:—:1 29:→:1 29:—:1 29:→:1 29:→:1 29:→:1 29:→:1 29:→:1 29:—:1	shift242 shift3306 shift1473 shift1690 shift1852 shift2282 shift1474 shift3742 shift1742 shift3744 shift1264 shift1788 shift1099 shift1787 shift136 shift4275	16	73	855	SEIZE
Zalizniak-2020-2591-30	30	to go out	30:→:6 30:→:5 30:→:4 30:→:4 30:→:3 30:→:2 30:—:2 30:→:2 30:→:1 30:—:1 30:→:1 30:→:1 30:→:1 30:→:1 30:—:1 30:→:1	shift1856 shift569 shift1316 shift3653 shift4210 shift93 shift95 shift3654 shift2607 shift3104 shift2946 shift4165 shift94 shift1611 shift92 shift1966	16	36	1107	GO OUT
Zalizniak-2020-2591-31	31	to cut (tr.)	31:→:18 31:→:9 31:—:9 31:—:6 31:→:4 31:→:3 31:—:3 31:→:3 31:→:2 31:→:2 31:—:2 31:→:1 31:→:1 31:→:1 31:→:1 31:→:1	shift775 shift2163 shift2185 shift2730 shift2724 shift1175 shift2097 shift1715 shift2078 shift2164 shift2257 shift2302 shift1796 shift2612 shift1795 shift3442	16	66	1432	CUT
Zalizniak-2020-2591-32	32	dry	32:→:14 32:→:8 32:→:4 32:→:4 32:→:4 32:→:2 32:—:2 32:→:1 32:—:1 32:—:1 32:→:1 32:→:1 32:—:1 32:→:1 32:→:1 32:—:1	shift794 shift110 shift1488 shift806 shift2139 shift791 shift1659 shift1997 shift2140 shift2219 shift3189 shift199 shift3188 shift1995 shift1996 shift3808	16	47	1398	DRY
Zalizniak-2020-2591-33	33	cold (adj.)	33:→:10 33:→:5 33:→:4 33:—:3 33:—:3 33:→:2 33:—:2 33:→:2 33:→:2 33:—:1 33:→:1 33:—:1 33:—:1 33:→:1 33:→:1 33:—:1	shift1145 shift581 shift2104 shift2756 shift2032 shift97 shift2030 shift2105 shift2128 shift2031 shift3334 shift2106 shift3534 shift3384 shift2576 shift202	16	40	1287	COLD
Zalizniak-2020-2591-34	34	belly	34:—:17 34:→:6 34:↔:4 34:—:3 34:→:2 34:→:2 34:↔:2 34:→:2 34:→:1 34:—:1 34:—:1 34:→:1 34:→:1 34:→:1 34:→:1 34:→:1	shift47 shift1635 shift868 shift2800 shift543 shift3299 shift439 shift3536 shift4264 shift2818 shift3553 shift313 shift1759 shift3555 shift3537 shift4265	16	46	1251	BELLY
Zalizniak-2020-2591-35	35	to die, pass away	35:→:4 35:→:2 35:—:2 35:→:2 35:—:2 35:—:2 35:→:2 35:—:1 35:—:1 35:→:1 35:→:1 35:—:1 35:→:1 35:→:1 35:→:1	shift1091 shift231 shift1909 shift2193 shift1258 shift286 shift232 shift1660 shift2811 shift3491 shift2654 shift64 shift3169 shift3170 shift3171	15	24	1494	DIE
Zalizniak-2020-2591-36	36	snake	36:↔:10 36:→:6 36:→:5 36:—:5 36:↔:2 36:→:2 36:—:2 36:→:2 36:→:2 36:—:1 36:→:1 36:→:1 36:→:1 36:→:1 36:—:1	shift2916 shift555 shift1713 shift626 shift1532 shift3307 shift2917 shift1712 shift3218 shift3892 shift972 shift3010 shift3036 shift2554 shift2562	15	42	730	SNAKE
Zalizniak-2020-2591-37	37	heart	37:↔:24 37:↔:11 37:→:11 37:↔:6 37:→:4 37:→:3 37:—:2 37:→:2 37:→:2 37:—:1 37:—:1 37:→:1 37:—:1 37:↔:1 37:→:1	shift1171 shift932 shift1467 shift3300 shift3557 shift2386 shift931 shift3556 shift190 shift3992 shift4096 shift2298 shift3579 shift2304 shift3558	15	71	1223	HEART
Zalizniak-2020-2591-38	38	healthy	38:—:9 38:—:7 38:—:5 38:→:3 38:—:3 38:↔:3 38:→:1 38:—:1 38:—:1 38:—:1 38:—:1 38:—:1 38:—:1 38:→:1 38:—:1	shift797 shift1035 shift3619 shift1036 shift4128 shift2214 shift2320 shift2328 shift3997 shift4108 shift2780 shift2904 shift1505 shift2548 shift935	15	39	1364	HEALTHY
Zalizniak-2020-2591-39	39	foot/leg	39:→:3 39:—:3 39:→:3 39:→:2 39:→:1 39:→:1 39:→:1 39:→:1 39:→:1 39:—:1 39:→:1 39:—:1 39:→:1 39:→:1 39:→:1	shift304 shift3580 shift2487 shift3211 shift303 shift2485 shift2486 shift517 shift3516 shift3019 shift3164 shift3629 shift593 shift2143 shift312	15	22	2098	FOOT OR LEG
Zalizniak-2020-2591-40	40	wind	40:—:12 40:→:7 40:→:6 40:→:3 40:→:3 40:→:2 40:→:2 40:→:2 40:—:2 40:—:1 40:—:1 40:—:1 40:→:1 40:—:0	shift904 shift1185 shift1195 shift54 shift1406 shift2711 shift3398 shift1717 shift1469 shift1649 shift1283 shift4109 shift221 shift3730	14	43	960	WIND
Zalizniak-2020-2591-41	41	weak	41:→:6 41:→:6 41:—:5 41:—:5 41:→:3 41:—:3 41:→:2 41:→:2 41:→:1 41:—:1 41:→:1 41:—:1 41:→:1 41:—:1	shift1367 shift357 shift611 shift2038 shift2037 shift2912 shift3390 shift1894 shift1223 shift2235 shift358 shift3994 shift3238 shift1893	14	38	1601	WEAK
Zalizniak-2020-2591-42	42	to press down	42:→:17 42:→:7 42:→:7 42:→:2 42:→:2 42:→:1 42:→:1 42:→:1 42:—:1 42:→:1 42:→:1 42:—:1 42:→:1 42:→:1	shift785 shift1310 shift1011 shift177 shift3682 shift176 shift1785 shift218 shift1735 shift2246 shift123 shift400 shift3705 shift2322	14	44	1913	PRESS
Zalizniak-2020-2591-43	43	stone, rock	43:→:6 43:→:3 43:→:3 43:→:3 43:→:2 43:→:2 43:→:1 43:→:1 43:→:1 43:→:1 43:—:1 43:→:1 43:→:1 43:→:1	shift2126 shift1731 shift3925 shift453 shift2622 shift278 shift2624 shift2738 shift2470 shift2623 shift1778 shift3449 shift3141 shift2378	14	27	2125	STONE OR ROCK
Zalizniak-2020-2591-44	44	sky	44:—:11 44:—:7 44:—:6 44:—:4 44:→:3 44:—:3 44:—:2 44:—:2 44:—:1 44:—:1 44:—:1 44:—:1 44:→:1 44:→:1	shift2356 shift1840 shift617 shift1480 shift1196 shift3191 shift1652 shift2741 shift579 shift3032 shift2506 shift631 shift2682 shift1052	14	44	1732	SKY
Zalizniak-2020-2591-45	45	little, small	45:—:4 45:—:3 45:—:2 45:→:2 45:→:2 45:—:1 45:—:1 45:→:1 45:→:1 45:→:1 45:→:1 45:→:1 45:→:1 45:→:1	shift2085 shift2693 shift823 shift2882 shift2542 shift2880 shift1624 shift2993 shift423 shift2981 shift2979 shift2980 shift2940 shift2984	14	22	1246	SMALL
Zalizniak-2020-2591-46	46	green	46:—:28 46:→:11 46:→:9 46:→:5 46:↔:3 46:—:3 46:→:2 46:—:1 46:—:1 46:—:1 46:→:1 46:—:1 46:—:1 46:→:1	shift2539 shift1137 shift673 shift3968 shift803 shift2237 shift2729 shift3911 shift3910 shift4108 shift3047 shift4236 shift1664 shift1214	14	68	1425	GREEN
Zalizniak-2020-2591-47	47	empty	47:→:15 47:—:4 47:→:4 47:—:3 47:→:3 47:→:2 47:→:1 47:→:1 47:→:1 47:→:1 47:→:1 47:→:1 47:—:1 47:—:1	shift638 shift3425 shift1504 shift3444 shift397 shift1914 shift2518 shift2942 shift2515 shift1483 shift2517 shift2516 shift3424 shift2172	14	39	1624	EMPTY
Zalizniak-2020-2591-48	48	back (body part)	48:→:25 48:—:9 48:—:4 48:→:4 48:—:4 48:—:3 48:—:3 48:—:2 48:→:2 48:—:2 48:→:2 48:→:2 48:—:2 48:—:1	shift888 shift1433 shift385 shift364 shift434 shift409 shift882 shift2715 shift533 shift1946 shift3570 shift2301 shift2887 shift3747	14	65	1291	BACK
Zalizniak-2020-2591-49	49	to go up	49:—:6 49:→:5 49:→:4 49:—:4 49:→:3 49:→:2 49:→:1 49:—:1 49:→:1 49:—:1 49:—:1 49:→:1 49:→:1	shift3717 shift3246 shift4206 shift3719 shift319 shift2148 shift320 shift2856 shift570 shift3716 shift3718 shift2706 shift2048	13	31	705	GO UP (ASCEND)
Zalizniak-2020-2591-50	50	face	50:→:9 50:—:7 50:→:4 50:→:2 50:→:2 50:—:2 50:→:2 50:→:2 50:—:2 50:→:1 50:→:1 50:→:1 50:→:0	shift1465 shift1392 shift1994 shift1949 shift1466 shift445 shift1993 shift859 shift3110 shift3483 shift2905 shift3111 shift1028	13	35	1560	FACE
Zalizniak-2020-2591-51	51	dog	51:→:8 51:→:6 51:→:5 51:—:4 51:→:2 51:→:2 51:→:1 51:→:1 51:→:1 51:→:1 51:→:1 51:→:1 51:→:1	shift46 shift1062 shift586 shift4170 shift1410 shift3947 shift2555 shift3176 shift2927 shift2929 shift3879 shift2928 shift587	13	34	2009	DOG
Zalizniak-2020-2591-52	52	weather	52:—:8 52:—:8 52:—:7 52:—:2 52:—:1 52:—:1 52:—:1 52:→:1 52:—:1 52:—:1 52:→:1 52:—:1	shift53 shift48 shift1840 shift1656 shift3876 shift3936 shift682 shift3085 shift3848 shift3884 shift3084 shift3847	12	33	952	WEATHER
Zalizniak-2020-2591-53	53	tree	53:—:46 53:—:4 53:→:3 53:—:3 53:→:2 53:—:2 53:—:2 53:—:1 53:→:1 53:—:1 53:→:1 53:→:1	shift3852 shift599 shift207 shift2464 shift2465 shift600 shift598 shift2420 shift2436 shift3902 shift2994 shift153	12	67	906	TREE
Zalizniak-2020-2591-54	54	to turn, rotate (intr.)	54:→:19 54:→:8 54:→:6 54:→:3 54:—:2 54:—:1 54:→:1 54:→:1 54:→:1 54:—:1 54:—:1 54:→:1	shift7 shift164 shift759 shift1803 shift1430 shift121 shift3142 shift1475 shift1441 shift117 shift1718 shift1001	12	45		
Zalizniak-2020-2591-55	55	to speak	55:→:10 55:→:5 55:↔:4 55:→:4 55:→:4 55:—:3 55:→:3 55:—:2 55:—:1 55:→:1 55:→:1 55:→:1	shift1168 shift843 shift444 shift2251 shift2136 shift982 shift10 shift1094 shift2974 shift1545 shift3320 shift1584	12	39	1623	SPEAK
Zalizniak-2020-2591-56	56	to get, obtain	56:→:18 56:—:10 56:→:5 56:→:5 56:—:4 56:→:4 56:→:3 56:→:3 56:→:2 56:→:2 56:→:1 56:→:1	shift29 shift14 shift2528 shift28 shift26 shift27 shift30 shift23 shift24 shift1702 shift32 shift33	12	58	694	GET
Zalizniak-2020-2591-57	57	to flow	57:↔:12 57:→:11 57:—:7 57:→:5 57:↔:2 57:—:2 57:—:2 57:→:2 57:→:2 57:—:1 57:—:1 57:→:1	shift1632 shift2109 shift980 shift1968 shift1327 shift2717 shift1427 shift294 shift1177 shift2810 shift1128 shift295	12	48	2003	FLOW
Zalizniak-2020-2591-58	58	thick	58:↔:14 58:→:12 58:→:8 58:↔:5 58:→:4 58:—:4 58:→:1 58:→:1 58:→:1 58:→:1 58:—:1 58:→:1	shift2043 shift2044 shift1436 shift349 shift2871 shift2881 shift2861 shift2082 shift2885 shift2859 shift3138 shift2886	12	53	1244	THICK
Zalizniak-2020-2591-59	59	mother	59:→:6 59:→:6 59:→:4 59:→:3 59:→:3 59:→:3 59:→:3 59:—:2 59:—:2 59:→:2 59:→:1 59:—:0	shift3867 shift3706 shift298 shift443 shift3378 shift3864 shift3865 shift1533 shift4011 shift2987 shift3866 shift4008	12	35	1216	MOTHER
